time	ms	value
10:17:40	1849816	1032
10:17:41	1850848	1032
10:17:42	1851880	1060
10:17:43	1852940	1092
10:17:45	1854032	1092
10:17:46	1855124	1032
10:17:47	1856156	1064
10:17:48	1857220	1076
10:17:49	1858296	1064
10:17:50	1859360	1048
10:17:51	1860408	1016
10:17:52	1861424	1044
10:17:53	1862468	1044
10:17:54	1863512	1056
10:17:55	1864568	1024
10:17:56	1865592	1052
10:17:57	1866644	1068
10:17:58	1867712	1068
10:17:59	1868780	1080
10:18:00	1869860	1072
10:18:01	1870932	1036
10:18:02	1871968	1052
10:18:04	1873020	1048
10:18:05	1874068	1036
10:18:06	1875104	1004
10:18:07	1876108	1016
10:18:08	1877124	1008
10:18:09	1878132	976
10:18:10	1879108	968
10:18:11	1880076	980
10:18:12	1881056	976
10:18:13	1882032	992
10:18:14	1883024	988
10:18:15	1884012	996
10:18:16	1885008	1032
10:18:17	1886040	1024
10:18:18	1887064	1040
10:18:19	1888104	1044
10:18:20	1889148	1040
10:18:21	1890188	1028
10:18:22	1891216	1048
10:18:23	1892264	1044
10:18:24	1893308	1028
10:18:25	1894336	984
10:18:26	1895320	984
10:18:27	1896304	1000
10:18:28	1897304	988
10:18:29	1898292	956
10:18:30	1899248	984
10:18:31	1900232	984
10:18:32	1901216	1000
10:18:33	1902216	1036
10:18:34	1903252	1072
10:18:35	1904324	1072
10:18:36	1905396	1060
10:18:37	1906456	1052
10:18:38	1907508	1024
10:18:39	1908532	976
10:18:40	1909508	1008
10:18:41	1910516	1012
10:18:42	1911528	996
10:18:43	1912524	968
10:18:44	1913492	1004
10:18:45	1914496	1016
10:18:46	1915512	1000
10:18:47	1916512	968
10:18:48	1917480	988
10:18:49	1918468	1000
10:18:50	1919468	1012
10:18:51	1920480	976
10:18:52	1921456	992
10:18:53	1922448	1012
10:18:54	1923460	1016
10:18:55	1924476	1012
10:18:56	1925488	1016
10:18:57	1926504	1048
10:18:58	1927552	1056
10:18:59	1928608	1032
10:19:00	1929640	1024
10:19:01	1930664	1028
10:19:02	1931692	1040
10:19:03	1932732	1032
10:19:04	1933764	1036
10:19:05	1934800	1044
10:19:06	1935844	1040
10:19:07	1936884	1028
10:19:08	1937912	1028
10:19:09	1938940	1008
10:19:10	1939948	1036
10:19:11	1940984	1048
10:19:13	1942032	1044
